#Date Time Action Protocol SrcIP DstIP SrcPort DstPort Direction "Message"
2025-07-03 03:55:02 BLOCK TCP 32.121.65.246 91.248.30.245 39195 445 OUTBOUND "Dropped malformed packet"
2025-07-03 04:00:54 ALLOW TCP 21.24.81.159 34.230.192.78 16186 445 INBOUND "Allowed outbound HTTPS"
2025-07-03 04:05:59 ALLOW TCP 114.248.46.182 49.209.146.178 23450 5000 INBOUND "Blocked outbound to blacklisted IP"
2025-07-03 04:10:04 ALLOW TCP 46.158.58.102 195.24.201.36 46180 8080 INBOUND "Dropped malformed packet"
2025-07-03 04:15:53 ALLOW TCP 12.220.193.97 158.229.138.197 43081 3389 INBOUND "Suspicious DNS query"
2025-07-03 04:20:07 BLOCK TCP 152.220.127.148 176.130.32.59 27715 3389 INBOUND "Possible SSH brute force"
2025-07-03 04:25:02 ALLOW TCP 30.51.124.27 150.98.165.90 24036 3306 INBOUND "Allowed outbound HTTPS"
2025-07-03 04:30:30 ALLOW TCP 198.30.241.100 81.87.80.123 50949 5000 INBOUND "Allowed inbound VPN"
2025-07-03 04:35:32 BLOCK TCP 37.74.155.239 153.232.118.59 40801 5000 INBOUND "Allowed outbound DNS"
2025-07-03 04:40:36 ALLOW TCP 194.98.27.6 73.208.61.90 52866 80 OUTBOUND "Suspicious DNS query"
2025-07-03 04:45:48 BLOCK UDP 51.31.199.95 84.199.90.229 44005 8080 INBOUND "Suspicious DNS query"
2025-07-03 04:50:16 ALLOW UDP 31.36.180.32 47.58.73.130 23605 22 OUTBOUND "Blocked inbound port scan"
2025-07-03 04:55:23 ALLOW UDP 174.199.156.237 83.154.95.116 48668 443 INBOUND "Blocked inbound port scan"
2025-07-03 05:00:35 BLOCK UDP 122.80.86.173 22.218.117.45 17140 3306 OUTBOUND "Allowed outbound HTTPS"
2025-07-03 05:05:24 BLOCK UDP 187.27.94.108 60.104.193.237 19169 80 INBOUND "Blocked inbound port scan"
2025-07-03 05:10:54 ALLOW UDP 182.208.199.213 142.244.244.138 20074 8080 INBOUND "Allowed outbound SSH"
2025-07-03 05:15:02 ALLOW TCP 134.14.213.50 129.109.161.219 57978 8080 OUTBOUND "Possible SSH brute force"
2025-07-03 05:20:12 ALLOW UDP 45.46.38.210 56.237.119.138 54253 5000 OUTBOUND "Allowed outbound HTTPS"
2025-07-03 05:25:05 BLOCK UDP 97.189.109.49 20.9.204.30 52876 53 INBOUND "Suspicious DNS query"
2025-07-03 05:30:13 ALLOW TCP 194.2.228.170 91.112.237.28 44016 8080 OUTBOUND "Allowed outbound HTTPS"
2025-07-03 05:35:20 BLOCK UDP 31.143.47.28 198.13.73.171 56404 445 INBOUND "Blocked outbound to blacklisted IP"
2025-07-03 05:40:03 ALLOW UDP 198.144.50.88 47.37.203.140 40073 3306 OUTBOUND "Allowed outbound SSH"
2025-07-03 05:45:59 ALLOW UDP 126.92.226.222 55.134.192.226 27056 8080 OUTBOUND "Dropped malformed packet"
2025-07-03 05:50:13 BLOCK UDP 137.208.234.118 197.154.227.186 8336 443 INBOUND "Possible SSH brute force"
2025-07-03 05:55:29 ALLOW TCP 76.18.178.229 172.95.18.221 60223 53 OUTBOUND "Allowed outbound DNS"
2025-07-03 06:00:21 ALLOW UDP 44.157.137.84 14.75.145.77 22041 5000 INBOUND "Blocked inbound port scan"
2025-07-03 06:05:52 BLOCK UDP 164.240.189.18 74.82.82.172 29718 3389 OUTBOUND "Blocked inbound port scan"
2025-07-03 06:10:41 ALLOW UDP 177.33.91.62 176.56.47.102 44042 3389 OUTBOUND "Allowed outbound HTTPS"
2025-07-03 06:15:43 ALLOW UDP 116.187.134.219 156.243.144.23 12687 22 OUTBOUND "Blocked outbound to blacklisted IP"
2025-07-03 06:20:59 ALLOW TCP 110.102.225.138 190.214.179.15 23440 53 OUTBOUND "Suspicious DNS query"
2025-07-03 06:25:02 BLOCK TCP 182.233.132.252 137.236.106.73 11350 80 INBOUND "Dropped malformed packet"
2025-07-03 06:30:47 BLOCK TCP 53.130.130.99 18.105.186.33 16675 5000 INBOUND "Allowed outbound SSH"
2025-07-03 06:35:58 BLOCK UDP 100.225.82.100 62.120.128.229 52406 53 OUTBOUND "Suspicious DNS query"
2025-07-03 06:40:53 BLOCK TCP 125.35.17.26 32.153.219.166 48869 5000 INBOUND "Allowed inbound VPN"
2025-07-03 06:45:52 ALLOW UDP 23.247.159.195 171.144.137.180 26640 443 OUTBOUND "Allowed outbound HTTPS"
2025-07-03 06:50:23 ALLOW UDP 118.226.54.42 194.233.215.12 61021 8080 INBOUND "Allowed outbound DNS"
2025-07-03 06:55:56 ALLOW UDP 75.166.175.137 49.134.205.223 1792 445 OUTBOUND "Allowed outbound HTTPS"
2025-07-03 07:00:02 BLOCK TCP 148.74.43.127 110.33.49.44 30718 22 INBOUND "Allowed outbound SSH"
2025-07-03 07:05:51 ALLOW TCP 108.44.34.152 93.246.187.39 22001 445 INBOUND "Allowed outbound HTTPS"
2025-07-03 07:10:50 ALLOW UDP 15.184.113.76 188.121.153.211 33093 8080 INBOUND "Blocked outbound to blacklisted IP"
2025-07-03 07:15:02 BLOCK UDP 191.122.222.199 27.5.137.187 61668 53 INBOUND "Allowed outbound SSH"
2025-07-03 07:20:02 ALLOW TCP 133.211.192.44 161.74.27.34 15722 5000 INBOUND "Blocked outbound to blacklisted IP"
2025-07-03 07:25:08 ALLOW TCP 106.219.54.90 49.113.8.243 24980 5000 INBOUND "Blocked inbound port scan"
2025-07-03 07:30:33 ALLOW UDP 16.73.145.200 160.156.19.76 55873 443 OUTBOUND "Allowed outbound DNS"
2025-07-03 07:35:36 ALLOW UDP 174.196.163.253 113.140.238.78 47875 22 INBOUND "Blocked outbound to blacklisted IP"
2025-07-03 07:40:29 BLOCK TCP 197.9.0.226 55.17.83.221 57581 445 INBOUND "Possible SSH brute force"
2025-07-03 07:45:10 BLOCK UDP 55.222.189.82 83.212.204.72 61958 80 INBOUND "Allowed outbound SSH"
2025-07-03 07:50:47 ALLOW TCP 124.60.157.87 71.54.96.57 56847 3306 OUTBOUND "Allowed inbound VPN"
2025-07-03 07:55:20 ALLOW UDP 171.194.36.52 58.199.28.185 39097 8080 INBOUND "Possible SSH brute force"
2025-07-03 08:00:29 ALLOW TCP 166.11.157.145 31.208.141.50 62120 53 INBOUND "Possible SSH brute force"
2025-07-03 08:05:10 BLOCK UDP 168.43.196.28 173.135.200.151 12125 443 INBOUND "Allowed outbound HTTPS"
2025-07-03 08:10:06 BLOCK TCP 136.74.223.24 63.112.210.153 41125 3306 INBOUND "Allowed outbound HTTPS"
2025-07-03 08:15:44 ALLOW UDP 11.255.174.16 118.223.132.27 63151 22 INBOUND "Suspicious DNS query"
2025-07-03 08:20:32 ALLOW UDP 149.207.98.45 58.115.120.122 22663 22 INBOUND "Possible SSH brute force"
2025-07-03 08:25:36 BLOCK TCP 57.175.9.147 156.189.224.198 49388 22 OUTBOUND "Possible SSH brute force"
2025-07-03 08:30:38 ALLOW UDP 169.27.129.9 158.10.202.139 16420 53 OUTBOUND "Allowed inbound VPN"
2025-07-03 08:35:02 BLOCK TCP 141.235.2.127 148.140.161.228 19574 8080 INBOUND "Blocked outbound to blacklisted IP"
2025-07-03 08:40:56 BLOCK UDP 154.216.141.162 75.181.228.90 5716 445 OUTBOUND "Possible SSH brute force"
2025-07-03 08:45:00 ALLOW UDP 25.179.119.160 99.179.107.40 5019 80 INBOUND "Possible SSH brute force"
2025-07-03 08:50:07 ALLOW TCP 137.150.190.158 144.242.0.66 51527 5000 INBOUND "Possible SSH brute force"
2025-07-03 08:55:09 BLOCK TCP 198.99.246.5 125.217.118.225 63406 5000 INBOUND "Allowed outbound HTTPS"
2025-07-03 09:00:50 BLOCK UDP 23.253.48.180 72.185.135.11 53832 22 INBOUND "Allowed outbound HTTPS"
2025-07-03 09:05:41 BLOCK TCP 196.241.179.62 41.44.191.14 3554 22 OUTBOUND "Suspicious DNS query"
2025-07-03 09:10:42 ALLOW TCP 192.177.208.60 158.243.148.24 56516 5000 INBOUND "Allowed outbound HTTPS"
2025-07-03 09:15:23 BLOCK TCP 135.160.174.251 136.63.70.177 49039 22 INBOUND "Allowed outbound DNS"
2025-07-03 09:20:16 ALLOW TCP 73.229.81.26 184.27.129.185 1493 5000 INBOUND "Allowed inbound VPN"
2025-07-03 09:25:18 BLOCK UDP 152.76.150.229 147.15.95.211 10157 8080 INBOUND "Allowed outbound SSH"
2025-07-03 09:30:20 ALLOW UDP 105.20.104.43 128.49.22.166 50792 8080 INBOUND "Allowed outbound HTTPS"
2025-07-03 09:35:49 ALLOW TCP 59.187.254.205 149.138.232.60 25666 8080 OUTBOUND "Allowed outbound SSH"
2025-07-03 09:40:16 BLOCK TCP 163.75.143.55 73.27.62.134 36297 80 OUTBOUND "Suspicious DNS query"
2025-07-03 09:45:51 BLOCK UDP 152.15.135.69 52.210.19.218 19615 445 OUTBOUND "Blocked inbound port scan"
2025-07-03 09:50:30 BLOCK UDP 195.227.112.191 31.26.252.151 30647 22 INBOUND "Allowed inbound VPN"
2025-07-03 09:55:10 ALLOW UDP 190.60.99.129 36.137.43.206 16842 445 OUTBOUND "Allowed inbound VPN"
2025-07-03 10:00:06 ALLOW TCP 109.111.181.58 187.215.88.185 31808 445 INBOUND "Possible SSH brute force"
2025-07-03 10:05:43 BLOCK TCP 145.48.162.23 139.47.157.41 48840 3389 INBOUND "Dropped malformed packet"
2025-07-03 10:10:36 ALLOW UDP 166.148.228.162 29.62.86.157 2990 3389 INBOUND "Dropped malformed packet"
2025-07-03 10:15:22 ALLOW TCP 111.184.195.250 116.95.52.21 27454 80 OUTBOUND "Allowed outbound HTTPS"
2025-07-03 10:20:21 BLOCK UDP 32.93.158.62 84.166.88.166 57783 53 INBOUND "Allowed outbound DNS"
2025-07-03 10:25:09 BLOCK UDP 147.198.118.56 33.252.177.62 9324 445 OUTBOUND "Allowed outbound HTTPS"
2025-07-03 10:30:52 BLOCK TCP 168.231.160.40 103.183.207.119 19229 445 INBOUND "Allowed outbound SSH"
2025-07-03 10:35:48 BLOCK TCP 46.25.202.57 109.191.230.28 46114 3389 OUTBOUND "Suspicious DNS query"
2025-07-03 10:40:57 BLOCK TCP 110.7.2.15 68.163.155.177 7711 3306 OUTBOUND "Blocked inbound port scan"
2025-07-03 10:45:58 ALLOW UDP 191.106.50.66 98.97.94.10 43214 3306 OUTBOUND "Allowed outbound SSH"
2025-07-03 10:50:56 ALLOW TCP 131.203.114.215 32.86.91.144 16885 53 INBOUND "Blocked outbound to blacklisted IP"
2025-07-03 10:55:59 ALLOW UDP 178.211.192.116 89.182.24.145 51034 80 INBOUND "Allowed inbound VPN"
2025-07-03 11:00:54 ALLOW UDP 63.139.179.18 106.90.210.180 8811 53 OUTBOUND "Blocked inbound port scan"
2025-07-03 11:05:46 ALLOW UDP 47.20.21.131 65.186.241.231 54814 8080 OUTBOUND "Allowed outbound DNS"
2025-07-03 11:10:43 ALLOW UDP 86.245.85.60 190.133.161.27 17097 80 OUTBOUND "Allowed outbound DNS"
2025-07-03 11:15:01 ALLOW TCP 51.153.114.12 143.40.108.73 21758 53 INBOUND "Allowed outbound HTTPS"
2025-07-03 11:20:57 BLOCK TCP 72.254.243.178 193.13.217.43 50534 5000 INBOUND "Allowed outbound HTTPS"
2025-07-03 11:25:12 ALLOW UDP 26.105.92.229 139.41.10.29 58220 445 INBOUND "Blocked inbound port scan"
2025-07-03 11:30:51 BLOCK TCP 61.134.100.2 37.236.238.130 42847 3306 OUTBOUND "Possible SSH brute force"
2025-07-03 11:35:34 BLOCK TCP 189.102.193.191 69.79.105.207 11294 80 INBOUND "Dropped malformed packet"
2025-07-03 11:40:24 BLOCK TCP 168.93.185.114 111.226.221.207 52940 443 OUTBOUND "Possible SSH brute force"
2025-07-03 11:45:32 ALLOW TCP 66.126.130.63 42.67.128.144 53089 445 INBOUND "Blocked outbound to blacklisted IP"
2025-07-03 11:50:28 BLOCK TCP 147.116.190.149 165.206.232.113 27053 53 OUTBOUND "Blocked inbound port scan"
2025-07-03 11:55:40 BLOCK TCP 92.132.206.183 33.185.97.12 12394 53 INBOUND "Allowed outbound DNS"
2025-07-03 12:00:38 ALLOW TCP 54.106.153.175 43.128.79.240 2958 53 OUTBOUND "Allowed outbound SSH"
2025-07-03 12:05:55 BLOCK TCP 197.50.71.17 157.8.157.78 19664 5000 INBOUND "Suspicious DNS query"
2025-07-03 12:10:21 BLOCK UDP 169.8.67.32 94.155.103.77 49418 8080 INBOUND "Blocked inbound port scan"
2025-07-03 12:15:38 BLOCK TCP 194.243.10.79 90.203.164.83 52697 80 INBOUND "Allowed outbound DNS"
2025-07-03 12:20:27 BLOCK TCP 130.84.94.6 30.243.253.144 49868 445 INBOUND "Allowed outbound HTTPS"
2025-07-03 12:25:01 BLOCK TCP 16.179.170.12 94.180.164.175 30651 5000 INBOUND "Allowed outbound DNS"
